,CD3Q605,CD4PETR,CD8Q705,CD45RAQ655,CCR7PECY7,CD27AF700,CD11BAPCCY7,CD14Q800,Color
CD4_EM,hi,hi,lo,lo,lo,lo,lo,lo,#FFE6E6
CD4_CM,hi,hi,lo,lo,hi,lo,lo,lo,#D58080
CD4_Naive,hi,hi,lo,hi,hi,lo,lo,lo,#AA3333
CD4_TEMRA,hi,hi,lo,hi,lo,lo,lo,lo,#800000
CD8_EM,hi,lo,hi,lo,lo,lo,lo,lo,#E6E6FF
CD8_CM,hi,lo,hi,lo,hi,lo,lo,lo,#8080D5
CD8_Naive,hi,lo,hi,hi,hi,lo,lo,lo,#3333AA
CD8_TEMRA,hi,lo,hi,hi,lo,lo,lo,lo,#000080
CD3_DN,hi,lo,lo,dc,dc,dc,dc,dc,#00EE00
CD3_DP,hi,hi,hi,dc,dc,dc,dc,dc,#008800
B cell,lo,lo,lo,dc,dc,hi,lo,lo,#33AAAA
Macrophage,lo,lo,lo,dc,dc,lo,hi,hi,#AA33AA
NK,lo,lo,lo,dc,dc,lo,hi,lo,#AEAE00
